agent_id,current_link,current_link_enter_time,current_time,link_geometry,agent_position,duration
1000019,35837,3709.0,4200,"LINESTRING(-122.8587377 38.1014486, -122.8583013 38.1015206, -122.8573937 38.1013003, -122.8573781 38.100993, -122.8572096 38.1009078, -122.857044 38.100848, -122.856534 38.1011265)",POINT (-122.8575846338444 38.10122986703436),19.0
1000023,18997,3722.0,4200,"LINESTRING(-122.860098 38.09812, -122.859316 38.098303)",POINT (-122.859707 38.09821150000001),6.0
1000009,20728,3723.0,4200,"LINESTRING(-122.8771408 38.1110372, -122.8769449 38.1110805, -122.87627 38.1111711)",POINT (-122.8767065372299 38.11111056368846),6.0
1000021,29786,3719.0,4200,"LINESTRING(-122.8541003 38.0985701, -122.853795 38.0982095, -122.85355 38.0981645, -122.8537173 38.0977276)",POINT (-122.8537665193649 38.0981727866862),11.0
1000019,173,3728.0,4200,"LINESTRING(-122.856534 38.1011265, -122.8563104 38.1009793)",POINT (-122.8564222 38.1010529),2.0
1000003,36231,3707.0,4200,"LINESTRING(-122.8691477 38.1093932, -122.8689799 38.1093788, -122.8686617 38.1093963, -122.8679707 38.1094798, -122.8675432 38.109538, -122.8671706 38.1095425, -122.8665436 38.1094823, -122.8661578 38.109452, -122.8658387 38.1094262, -122.8655761 38.1093837, -122.8655388 38.1093696, -122.865433 38.1093295, -122.8651627 38.1091492)",POINT (-122.8671267864919 38.10944207947534),24.0
1000002,6757,3728.0,4200,"LINESTRING(-122.8589668 38.1017113, -122.8587377 38.1014486)",POINT (-122.85885225 38.10157995),3.0
1000017,29761,3721.0,4200,"LINESTRING(-122.859316 38.098303, -122.857781 38.098373)",POINT (-122.8585485 38.098338),11.0
1000006,10518,3728.0,4200,"LINESTRING(-122.862468 38.097643, -122.862154 38.097318)",POINT (-122.862311 38.09748050000001),4.0
1000009,7831,3729.0,4200,"LINESTRING(-122.87627 38.1111711, -122.8758352 38.1112101)",POINT (-122.8760526 38.1111906),3.0
1000010,36250,3709.0,4200,"LINESTRING(-122.8618114 38.1052691, -122.8616419 38.1051247, -122.8614362 38.1050311, -122.8611963 38.1049523, -122.8609358 38.1049341, -122.8606423 38.1049097, -122.860488 38.1048743, -122.860353 38.1047908, -122.8602148 38.1046315, -122.860102 38.104507, -122.8585064 38.1034983)",POINT (-122.8601314064879 38.1044692980222),24.0
1000016,34562,3717.0,4200,"LINESTRING(-122.862154 38.097318, -122.861169 38.097433, -122.860098 38.09812)",POINT (-122.8610837719136 38.09760085891305),16.0
1000021,9278,3730.0,4200,"LINESTRING(-122.8537173 38.0977276, -122.8533781 38.0974597)",POINT (-122.8535477 38.09759365),4.0
1000005,24249,3727.0,4200,"LINESTRING(-122.864581 38.095954, -122.864499 38.095897, -122.863601 38.096086)",POINT (-122.8640980903676 38.09598502252191),7.0
1000009,16287,3732.0,4200,"LINESTRING(-122.8758352 38.1112101, -122.875134 38.111247)",POINT (-122.8754846 38.11122855),5.0
1000021,10119,3734.0,4200,"LINESTRING(-122.8533781 38.0974597, -122.8530228 38.0971759)",POINT (-122.85320045 38.0973178),4.0
1000023,29761,3728.0,4200,"LINESTRING(-122.859316 38.098303, -122.857781 38.098373)",POINT (-122.8585485 38.098338),11.0
1000016,18997,3733.0,4200,"LINESTRING(-122.860098 38.09812, -122.859316 38.098303)",POINT (-122.859707 38.09821150000001),6.0
1000015,22190,3736.0,4200,"LINESTRING(-122.8741321 38.1110918, -122.873278 38.110863)",POINT (-122.87370505 38.11097739999999),7.0
1000017,31309,3732.0,4200,"LINESTRING(-122.857781 38.098373, -122.856448 38.098556, -122.856108 38.0985144)",POINT (-122.8569447580435 38.09847884639131),12.0
1000009,23737,3737.0,4200,"LINESTRING(-122.875134 38.111247, -122.874565 38.111231, -122.8741321 38.1110918)",POINT (-122.8746270322995 38.11120453848974),7.0
1000021,20673,3738.0,4200,"LINESTRING(-122.8530228 38.0971759, -122.8521974 38.0974296)",POINT (-122.8526101 38.09730275),6.0
1000015,8186,3743.0,4200,"LINESTRING(-122.873278 38.110863, -122.8728297 38.1108823)",POINT (-122.87305385 38.11087265),3.0
1000021,3255,3744.0,4200,"LINESTRING(-122.8521974 38.0974296, -122.85204995 38.097194349999995)",POINT (-122.852123675 38.097311975),2.0
1000017,9376,3744.0,4200,"LINESTRING(-122.856108 38.0985144, -122.855656 38.0986514)",POINT (-122.855882 38.0985829),4.0
1000006,34562,3732.0,4200,"LINESTRING(-122.862154 38.097318, -122.861169 38.097433, -122.860098 38.09812)",POINT (-122.8610837719136 38.09760085891305),16.0
1000005,33796,3734.0,4200,"LINESTRING(-122.863601 38.096086, -122.862726 38.096564, -122.862554 38.096722, -122.862154 38.097318)",POINT (-122.8628025285392 38.09661915631265),15.0
1000016,29761,3739.0,4200,"LINESTRING(-122.859316 38.098303, -122.857781 38.098373)",POINT (-122.8585485 38.098338),11.0
1000002,35837,3731.0,4200,"LINESTRING(-122.8587377 38.1014486, -122.8583013 38.1015206, -122.8573937 38.1013003, -122.8573781 38.100993, -122.8572096 38.1009078, -122.857044 38.100848, -122.856534 38.1011265)",POINT (-122.8575846338444 38.10122986703436),19.0
1000014,33051,3736.0,4200,"LINESTRING(-122.867343 38.0988226, -122.8669447 38.0990423, -122.8661635 38.0994357, -122.8657172 38.0997809)",POINT (-122.8665128967773 38.09927539606131),14.0
1000009,22190,3744.0,4200,"LINESTRING(-122.8741321 38.1110918, -122.873278 38.110863)",POINT (-122.87370505 38.11097739999999),7.0
1000023,31309,3739.0,4200,"LINESTRING(-122.857781 38.098373, -122.856448 38.098556, -122.856108 38.0985144)",POINT (-122.8569447580435 38.09847884639131),12.0
1000002,173,3750.0,4200,"LINESTRING(-122.856534 38.1011265, -122.8563104 38.1009793)",POINT (-122.8564222 38.1010529),2.0
1000021,20545,3746.0,4200,"LINESTRING(-122.85204995 38.097194349999995, -122.85161065 38.096499300000005)",POINT (-122.8518303 38.096846825),6.0
1000012,5591,3750.0,4200,"LINESTRING(-122.8591857 38.1000877, -122.8589932 38.0998391)",POINT (-122.85908945 38.0999634),3.0
1000006,18997,3748.0,4200,"LINESTRING(-122.860098 38.09812, -122.859316 38.098303)",POINT (-122.859707 38.09821150000001),6.0
1000010,35439,3733.0,4200,"LINESTRING(-122.8585064 38.1034983, -122.8583492 38.1033973, -122.8582422 38.1033299, -122.8580753 38.1032234, -122.8578268 38.1030693, -122.8577418 38.1030146, -122.8576466 38.1029532, -122.857519 38.1028443, -122.8574203 38.1027417, -122.8570928 38.102124, -122.8569003 38.1018093, -122.8567867 38.101606, -122.8567127 38.1014221, -122.856534 38.1011265)",POINT (-122.8573853468696 38.10243703062077),21.0
